ID,Year,Date,Stage,Home Team,Home Goals,Away Goals,Away Team,Win Conditions,Host Team
732,2010,2010-06-19,Group stage,Netherlands,1,0,Japan,Netherlands wins,False
733,2010,2010-06-19,Group stage,Ghana,1,1,Australia,Match nul,False
734,2010,2010-06-19,Group stage,Cameroon,1,2,Denmark,Denmark wins,False
735,2010,2010-06-20,Group stage,Slovakia,0,2,Paraguay,Paraguay wins,False
736,2010,2010-06-20,Group stage,Italy,1,1,New Zealand,Match nul,False
737,2010,2010-06-20,Group stage,Brazil,3,1,Ivory Coast,Brazil wins,False
738,2010,2010-06-21,Group stage,Portugal,7,0,North Korea,Portugal wins,False
739,2010,2010-06-21,Group stage,Chile,1,0,Switzerland,Chile wins,False
740,2010,2010-06-21,Group stage,Spain,2,0,Honduras,Spain wins,False
741,2010,2010-06-22,Group stage,Mexico,0,1,Uruguay,Uruguay wins,False
742,2010,2010-06-22,Group stage,South Africa,2,1,France,South Africa wins,True
743,2010,2010-06-22,Group stage,Nigeria,2,2,South Korea,Match nul,False
744,2010,2010-06-22,Group stage,Greece,0,2,Argentina,Argentina wins,False
745,2010,2010-06-23,Group stage,Slovenia,0,1,England,England wins,False
746,2010,2010-06-23,Group stage,United States,1,0,Algeria,United States wins,False
747,2010,2010-06-23,Group stage,Ghana,0,1,Germany,Germany wins,False
748,2010,2010-06-23,Group stage,Australia,2,1,Serbia,Australia wins,False
749,2010,2010-06-24,Group stage,Slovakia,3,2,Italy,Slovakia wins,False
750,2010,2010-06-24,Group stage,Paraguay,0,0,New Zealand,Match nul,False
751,2010,2010-06-24,Group stage,Denmark,1,3,Japan,Japan wins,False
752,2010,2010-06-24,Group stage,Cameroon,1,2,Netherlands,Netherlands wins,False
753,2010,2010-06-25,Group stage,Portugal,0,0,Brazil,Match nul,False
754,2010,2010-06-25,Group stage,North Korea,0,3,Ivory Coast,Ivory Coast wins,False
755,2010,2010-06-25,Group stage,Chile,1,2,Spain,Spain wins,False
756,2010,2010-06-25,Group stage,Switzerland,0,0,Honduras,Match nul,False
757,2010,2010-06-26,Round of 16,Uruguay,2,1,South Korea,Uruguay wins,False
758,2010,2010-06-26,Round of 16,United States,1,2,Ghana,Extra time,False
759,2010,2010-06-27,Round of 16,Germany,4,1,England,Germany wins,False
760,2010,2010-06-27,Round of 16,Argentina,3,1,Mexico,Argentina wins,False
761,2010,2010-06-28,Round of 16,Netherlands,2,1,Slovakia,Netherlands wins,False
762,2010,2010-06-28,Round of 16,Brazil,3,0,Chile,Brazil wins,False
763,2010,2010-06-29,Round of 16,Paraguay,0,0,Japan,Paraguay win on penalties (5 - 3),False
764,2010,2010-06-29,Round of 16,Spain,1,0,Portugal,Spain wins,False
765,2010,2010-07-02,Quarter-finals,Netherlands,2,1,Brazil,Netherlands wins,False
766,2010,2010-07-02,Quarter-finals,Uruguay,1,1,Ghana,Uruguay win on penalties (4 - 2),False
767,2010,2010-07-03,Quarter-finals,Argentina,0,4,Germany,Germany wins,False
768,2010,2010-07-03,Quarter-finals,Paraguay,0,1,Spain,Spain wins,False
769,2010,2010-07-06,Semi-finals,Uruguay,2,3,Netherlands,Netherlands wins,False
770,2010,2010-07-07,Semi-finals,Germany,0,1,Spain,Spain wins,False
771,2010,2010-07-10,Third place,Uruguay,2,3,Germany,Germany wins,False
772,2010,2010-07-11,Final,Netherlands,0,1,Spain,Extra time,False
773,2014,2014-06-12,Group stage,Brazil,3,1,Croatia,Brazil wins,True
774,2014,2014-06-13,Group stage,Mexico,1,0,Cameroon,Mexico wins,False
775,2014,2014-06-13,Group stage,Spain,1,5,Netherlands,Netherlands wins,False
776,2014,2014-06-13,Group stage,Chile,3,1,Australia,Chile wins,False
777,2014,2014-06-14,Group stage,Colombia,3,0,Greece,Colombia wins,False
778,2014,2014-06-14,Group stage,Uruguay,1,3,Costa Rica,Costa Rica wins,False
779,2014,2014-06-14,Group stage,England,1,2,Italy,Italy wins,False
780,2014,2014-06-14,Group stage,Ivory Coast,2,1,Japan,Ivory Coast wins,False
781,2014,2014-06-15,Group stage,Switzerland,2,1,Ecuador,Switzerland wins,False
782,2014,2014-06-15,Group stage,France,3,0,Honduras,France wins,False
783,2014,2014-06-15,Group stage,Argentina,2,1,Bosnia and Herzegovina,Argentina wins,False
784,2014,2014-06-16,Group stage,Germany,4,0,Portugal,Germany wins,False
785,2014,2014-06-16,Group stage,Iran,0,0,Nigeria,Match nul,False
786,2014,2014-06-16,Group stage,Ghana,1,2,United States,United States wins,False
787,2014,2014-06-17,Group stage,Belgium,2,1,Algeria,Belgium wins,False
788,2014,2014-06-17,Group stage,Brazil,0,0,Mexico,Match nul,True
789,2014,2014-06-17,Group stage,Russia,1,1,South Korea,Match nul,False
790,2014,2014-06-18,Group stage,Australia,2,3,Netherlands,Netherlands wins,False
791,2014,2014-06-18,Group stage,Spain,0,2,Chile,Chile wins,False
792,2014,2014-06-18,Group stage,Cameroon,0,4,Croatia,Croatia wins,False
793,2014,2014-06-19,Group stage,Colombia,2,1,Ivory Coast,Colombia wins,False
794,2014,2014-06-19,Group stage,Uruguay,2,1,England,Uruguay wins,False
795,2014,2014-06-19,Group stage,Japan,0,0,Greece,Match nul,False
796,2014,2014-06-20,Group stage,Italy,0,1,Costa Rica,Costa Rica wins,False
797,2014,2014-06-20,Group stage,Switzerland,2,5,France,France wins,False
798,2014,2014-06-20,Group stage,Honduras,1,2,Ecuador,Ecuador wins,False
799,2014,2014-06-21,Group stage,Argentina,1,0,Iran,Argentina wins,False
800,2014,2014-06-21,Group stage,Germany,2,2,Ghana,Match nul,False
801,2014,2014-06-21,Group stage,Nigeria,1,0,Bosnia and Herzegovina,Nigeria wins,False
802,2014,2014-06-22,Group stage,Belgium,1,0,Russia,Belgium wins,False
803,2014,2014-06-22,Group stage,South Korea,2,4,Algeria,Algeria wins,False
804,2014,2014-06-22,Group stage,United States,2,2,Portugal,Match nul,False
805,2014,2014-06-23,Group stage,Australia,0,3,Spain,Spain wins,False
806,2014,2014-06-23,Group stage,Netherlands,2,0,Chile,Netherlands wins,False
807,2014,2014-06-23,Group stage,Brazil,4,1,Cameroon,Brazil wins,True
808,2014,2014-06-23,Group stage,Croatia,1,3,Mexico,Mexico wins,False
809,2014,2014-06-24,Group stage,Italy,0,1,Uruguay,Uruguay wins,False
810,2014,2014-06-24,Group stage,Costa Rica,0,0,England,Match nul,False
811,2014,2014-06-24,Group stage,Japan,1,4,Colombia,Colombia wins,False
812,2014,2014-06-24,Group stage,Greece,2,1,Ivory Coast,Greece wins,False
813,2014,2014-06-25,Group stage,Nigeria,2,3,Argentina,Argentina wins,False
814,2014,2014-06-25,Group stage,Bosnia and Herzegovina,3,1,Iran,Bosnia and Herzegovina wins,False
815,2014,2014-06-25,Group stage,Honduras,0,3,Switzerland,Switzerland wins,False
816,2014,2014-06-25,Group stage,Ecuador,0,0,France,Match nul,False
817,2014,2014-06-26,Group stage,United States,0,1,Germany,Germany wins,False
818,2014,2014-06-26,Group stage,Portugal,2,1,Ghana,Portugal wins,False
819,2014,2014-06-26,Group stage,South Korea,0,1,Belgium,Belgium wins,False
820,2014,2014-06-26,Group stage,Algeria,1,1,Russia,Match nul,False
821,2014,2014-06-28,Round of 16,Brazil,1,1,Chile,Brazil win on penalties (3 - 2),True
822,2014,2014-06-28,Round of 16,Colombia,2,0,Uruguay,Colombia wins,False
823,2014,2014-06-29,Round of 16,Netherlands,2,1,Mexico,Netherlands wins,False
824,2014,2014-06-29,Round of 16,Costa Rica,1,1,Greece,Costa Rica win on penalties (5 - 3),False
825,2014,2014-06-30,Round of 16,France,2,0,Nigeria,France wins,False
826,2014,2014-06-30,Round of 16,Germany,2,1,Algeria,Extra time,False
827,2014,2014-07-01,Round of 16,Argentina,1,0,Switzerland,Extra time,False
828,2014,2014-07-01,Round of 16,Belgium,2,1,United States,Extra time,False
829,2014,2014-07-04,Quarter-finals,France,0,1,Germany,Germany wins,False
830,2014,2014-07-04,Quarter-finals,Brazil,2,1,Colombia,Brazil wins,True
831,2014,2014-07-05,Quarter-finals,Argentina,1,0,Belgium,Argentina wins,False
832,2014,2014-07-05,Quarter-finals,Netherlands,0,0,Costa Rica,Netherlands win on penalties (4 - 3),False
833,2014,2014-07-08,Semi-finals,Brazil,1,7,Germany,Germany wins,True
834,2014,2014-07-09,Semi-finals,Netherlands,0,0,Argentina,Argentina win on penalties (2 - 4),False
835,2014,2014-07-12,Third place,Brazil,0,3,Netherlands,Netherlands wins,True
836,2014,2014-07-13,Final,Germany,1,0,Argentina,Extra time,False
837,2018,2018-06-14,Group stage,Russia,5,0,Saudi Arabia,Russia wins,True
838,2018,2018-06-15,Group stage,Egypt,0,1,Uruguay,Uruguay wins,False
839,2018,2018-06-15,Group stage,Morocco,0,1,Iran,Iran wins,False
840,2018,2018-06-15,Group stage,Portugal,3,3,Spain,Match nul,False
841,2018,2018-06-16,Group stage,France,2,1,Australia,France wins,False
842,2018,2018-06-16,Group stage,Argentina,1,1,Iceland,Match nul,False
843,2018,2018-06-16,Group stage,Peru,0,1,Denmark,Denmark wins,False
844,2018,2018-06-16,Group stage,Croatia,2,0,Nigeria,Croatia wins,False
845,2018,2018-06-17,Group stage,Costa Rica,0,1,Serbia,Serbia wins,False
846,2018,2018-06-17,Group stage,Germany,0,1,Mexico,Mexico wins,False
847,2018,2018-06-17,Group stage,Brazil,1,1,Switzerland,Match nul,False
848,2018,2018-06-18,Group stage,Sweden,1,0,South Korea,Sweden wins,False
849,2018,2018-06-18,Group stage,Belgium,3,0,Panama,Belgium wins,False
850,2018,2018-06-18,Group stage,Tunisia,1,2,England,England wins,False
851,2018,2018-06-19,Group stage,Colombia,1,2,Japan,Japan wins,False
852,2018,2018-06-19,Group stage,Poland,1,2,Senegal,Senegal wins,False
853,2018,2018-06-19,Group stage,Russia,3,1,Egypt,Russia wins,True
854,2018,2018-06-20,Group stage,Portugal,1,0,Morocco,Portugal wins,False
855,2018,2018-06-20,Group stage,Uruguay,1,0,Saudi Arabia,Uruguay wins,False
856,2018,2018-06-20,Group stage,Iran,0,1,Spain,Spain wins,False
857,2018,2018-06-21,Group stage,Denmark,1,1,Australia,Match nul,False
858,2018,2018-06-21,Group stage,France,1,0,Peru,France wins,False
859,2018,2018-06-21,Group stage,Argentina,0,3,Croatia,Croatia wins,False
860,2018,2018-06-22,Group stage,Brazil,2,0,Costa Rica,Brazil wins,False
861,2018,2018-06-22,Group stage,Nigeria,2,0,Iceland,Nigeria wins,False
862,2018,2018-06-22,Group stage,Serbia,1,2,Switzerland,Switzerland wins,False
863,2018,2018-06-23,Group stage,Belgium,5,2,Tunisia,Belgium wins,False
864,2018,2018-06-23,Group stage,South Korea,1,2,Mexico,Mexico wins,False
865,2018,2018-06-23,Group stage,Germany,2,1,Sweden,Germany wins,False
866,2018,2018-06-24,Group stage,England,6,1,Panama,England wins,False
867,2018,2018-06-24,Group stage,Japan,2,2,Senegal,Match nul,False
868,2018,2018-06-24,Group stage,Poland,0,3,Colombia,Colombia wins,False
869,2018,2018-06-25,Group stage,Russia,0,3,Uruguay,Uruguay wins,True
870,2018,2018-06-25,Group stage,Saudi Arabia,2,1,Egypt,Saudi Arabia wins,False
871,2018,2018-06-25,Group stage,Spain,2,2,Morocco,Match nul,False
872,2018,2018-06-25,Group stage,Iran,1,1,Portugal,Match nul,False
873,2018,2018-06-26,Group stage,Australia,0,2,Peru,Peru wins,False
874,2018,2018-06-26,Group stage,Denmark,0,0,France,Match nul,False
875,2018,2018-06-26,Group stage,Nigeria,1,2,Argentina,Argentina wins,False
876,2018,2018-06-26,Group stage,Iceland,1,2,Croatia,Croatia wins,False
877,2018,2018-06-27,Group stage,South Korea,2,0,Germany,South Korea wins,False
878,2018,2018-06-27,Group stage,Mexico,0,3,Sweden,Sweden wins,False
879,2018,2018-06-27,Group stage,Serbia,0,2,Brazil,Brazil wins,False
880,2018,2018-06-27,Group stage,Switzerland,2,2,Costa Rica,Match nul,False
881,2018,2018-06-28,Group stage,Japan,0,1,Poland,Poland wins,False
882,2018,2018-06-28,Group stage,Senegal,0,1,Colombia,Colombia wins,False
883,2018,2018-06-28,Group stage,Panama,1,2,Tunisia,Tunisia wins,False
884,2018,2018-06-28,Group stage,England,0,1,Belgium,Belgium wins,False
885,2018,2018-06-30,Round of 16,France,4,3,Argentina,France wins,False
886,2018,2018-06-30,Round of 16,Uruguay,2,1,Portugal,Uruguay wins,False
887,2018,2018-07-01,Round of 16,Russia,1,1,Spain,Russia win on penalties (4 - 3),True
888,2018,2018-07-01,Round of 16,Croatia,1,1,Denmark,Croatia win on penalties (3 - 2),False
889,2018,2018-07-02,Round of 16,Brazil,2,0,Mexico,Brazil wins,False
890,2018,2018-07-02,Round of 16,Belgium,3,2,Japan,Belgium wins,False
891,2018,2018-07-03,Round of 16,Sweden,1,0,Switzerland,Sweden wins,False
892,2018,2018-07-03,Round of 16,Colombia,1,1,England,England win on penalties (3 - 4),False
893,2018,2018-07-06,Quarter-finals,Uruguay,0,2,France,France wins,False
894,2018,2018-07-06,Quarter-finals,Brazil,1,2,Belgium,Belgium wins,False
895,2018,2018-07-07,Quarter-finals,Sweden,0,2,England,England wins,False
896,2018,2018-07-07,Quarter-finals,Russia,2,2,Croatia,Croatia win on penalties (3 - 4),True
897,2018,2018-07-10,Semi-finals,France,1,0,Belgium,France wins,False
898,2018,2018-07-11,Semi-finals,Croatia,2,1,England,Extra time,False
899,2018,2018-07-14,Third place,Belgium,2,0,England,Belgium wins,False
900,2018,2018-07-15,Final,France,4,2,Croatia,France wins,False
